list_name,name,label
llm_freq,regular,I regularly use LLMs to improve efficiency (e.g. once a day).
llm_freq,rely,I rely on LLMs for completion (e.g. several times a day).
yesno,yes,Yes
yesno,no,No
mentorship,mentor,"Yes, as a mentor"
mentorship,mentee,"Yes, as a mentee"
mentorship,not_interested,"No, I am not interested"
list_gender,woman,Woman
list_gender,man,Man
list_gender,non_binary,Non-binary
list_gender,self_describe,Prefer to self-describe
list_gender,prefer_not_to_say_gender,Prefer not to say
list_age_group,under_18,Under 18
list_age_group,18_24,18–24
list_age_group,25_34,25–34
list_age_group,35_44,35–44
list_age_group,45_54,45–54
list_age_group,55_64,55–64
list_age_group,65_or_older,65 or older
list_age_group,prefer_not_to_say_age,Prefer not to say
list_accessibility,yes,Yes
list_accessibility,no,No
list_accessibility,prefer_not_to_say_accessibility,Prefer not to say
list_password_storage,none,I don’t store them anywhere
list_password_storage,unprotected_digital,"I store them in an unprotected digital file or app (e.g., Word, Excel, email, WhatsApp)"
list_password_storage,paper,I write them down on paper
list_password_storage,password_manager,I use a password manager
list_web_browser,google_chrome,Google Chrome
list_web_browser,apple_safari,Apple Safari
list_web_browser,microsoft_edge,Microsoft Edge
list_web_browser,mozilla_firefox,Mozilla Firefox
list_web_browser,samsung_internet,Samsung Internet
list_web_browser,opera,Opera
list_web_browser,brave,Brave
list_web_browser,vivaldi,Vivaldi
list_web_browser,arc,Arc
list_web_browser,other,Other
